,0
"(11, 0, 276183)",1.2605
"(11, 0, 276184)",1.19624
"(11, 0, 275911)",1.27208
"(11, 0, 275912)",1.08851
"(11, 0, 276240)",1.06336
"(11, 0, 276241)",1.0701200000000002
"(11, 0, 276264)",1.0799299999999998
"(11, 0, 276265)",1.24261
"(11, 0, 276268)",1.13137
"(11, 0, 276269)",1.10624
"(11, 0, 276737)",1.32277
"(11, 0, 276738)",1.36901
"(11, 1, 276183)",1.38458
"(11, 1, 276184)",1.18396
"(11, 1, 275911)",1.2391299999999998
"(11, 1, 275912)",1.1242299999999998
"(11, 1, 276240)",1.04588
"(11, 1, 276241)",1.07605
"(11, 1, 276264)",1.06026
"(11, 1, 276265)",1.17851
"(11, 1, 276268)",1.14452
"(11, 1, 276269)",1.16818
"(11, 1, 276737)",1.34065
"(11, 1, 276738)",1.41035
"(11, 2, 276183)",1.25003
"(11, 2, 276184)",1.1937
"(11, 2, 275911)",1.32821
"(11, 2, 275912)",1.1065
"(11, 2, 276240)",1.11054
"(11, 2, 276241)",1.10068
"(11, 2, 276264)",1.0767799999999998
"(11, 2, 276265)",1.17375
"(11, 2, 276268)",1.20418
"(11, 2, 276269)",1.10632
"(11, 2, 276737)",1.36177
"(11, 2, 276738)",1.5337
"(12, 0, 276183)",1.12279
"(12, 0, 276184)",1.25497
"(12, 0, 275911)",1.44441
"(12, 0, 275912)",1.12542
"(12, 0, 276240)",1.2019
"(12, 0, 276241)",1.06483
"(12, 0, 276264)",1.01688
"(12, 0, 276265)",1.29459
"(12, 0, 276268)",1.12822
"(12, 0, 276269)",1.08039
"(12, 0, 276737)",1.35972
"(12, 0, 276738)",1.22025
"(12, 1, 276183)",1.06992
"(12, 1, 276184)",1.23581
"(12, 1, 275911)",1.65675
"(12, 1, 275912)",1.13095
"(12, 1, 276240)",1.13608
"(12, 1, 276241)",1.10089
"(12, 1, 276264)",1.01489
"(12, 1, 276265)",1.23939
"(12, 1, 276268)",1.20504
"(12, 1, 276269)",1.14123
"(12, 1, 276737)",1.27379
"(12, 1, 276738)",1.30133
"(12, 2, 276183)",1.04826
"(12, 2, 276184)",1.27249
"(12, 2, 275911)",1.62589
"(12, 2, 275912)",1.19946
"(12, 2, 276240)",1.12102
"(12, 2, 276241)",1.0806
"(12, 2, 276264)",1.03554
"(12, 2, 276265)",1.21878
"(12, 2, 276268)",1.14088
"(12, 2, 276269)",1.14224
"(12, 2, 276737)",1.36342
"(12, 2, 276738)",1.33874
"(13, 0, 276183)",1.13296
"(13, 0, 276184)",1.29199
"(13, 0, 275911)",1.49312
"(13, 0, 275912)",1.3514
"(13, 0, 276240)",1.11212
"(13, 0, 276241)",1.07891
"(13, 0, 276264)",1.04336
"(13, 0, 276265)",1.25695
"(13, 0, 276268)",1.1655799999999998
"(13, 0, 276269)",1.1248
"(13, 0, 276737)",1.35851
"(13, 0, 276738)",1.4081
"(13, 1, 276183)",1.18583
"(13, 1, 276184)",1.28416
"(13, 1, 275911)",1.30038
"(13, 1, 275912)",1.34831
"(13, 1, 276240)",1.10781
"(13, 1, 276241)",1.05351
"(13, 1, 276264)",1.02785
"(13, 1, 276265)",1.19994
"(13, 1, 276268)",1.11311
"(13, 1, 276269)",1.09178
"(13, 1, 276737)",1.34214
"(13, 1, 276738)",1.13509
"(13, 2, 276183)",1.08142
"(13, 2, 276184)",1.22344
"(13, 2, 275911)",1.35263
"(13, 2, 275912)",1.19964
"(13, 2, 276240)",1.10792
"(13, 2, 276241)",1.06372
"(13, 2, 276264)",1.02075
"(13, 2, 276265)",1.22858
"(13, 2, 276268)",1.19478
"(13, 2, 276269)",1.06424
"(13, 2, 276737)",1.34771
"(13, 2, 276738)",1.3167799999999998
"(0, 0, 276183)",1.03759
"(0, 0, 276184)",2.65439
"(0, 0, 275911)",3.9639
"(0, 0, 275912)",3.0941
"(0, 0, 276240)",1.18442
"(0, 0, 276241)",1.88923
"(0, 0, 276264)",0.997603
"(0, 0, 276265)",2.0432900000000003
"(0, 0, 276268)",1.27223
"(0, 0, 276269)",3.48506
"(0, 0, 276737)",1.2234200000000002
"(0, 0, 276738)",1.10927
"(0, 1, 276183)",1.04718
"(0, 1, 276184)",2.63942
"(0, 1, 275911)",3.5094
"(0, 1, 275912)",2.93743
"(0, 1, 276240)",1.15279
"(0, 1, 276241)",1.98805
"(0, 1, 276264)",1.00479
"(0, 1, 276265)",1.3496
"(0, 1, 276268)",1.14659
"(0, 1, 276269)",2.8166900000000004
"(0, 1, 276737)",1.24281
"(0, 1, 276738)",1.0651
"(0, 2, 276183)",1.05368
"(0, 2, 276184)",2.6507
"(0, 2, 275911)",3.49658
"(0, 2, 275912)",3.13282
"(0, 2, 276240)",1.07775
"(0, 2, 276241)",1.9807
"(0, 2, 276264)",0.962555
"(0, 2, 276265)",1.1446
"(0, 2, 276268)",1.17779
"(0, 2, 276269)",3.03536
"(0, 2, 276737)",1.23499
"(0, 2, 276738)",1.12483
"(1, 0, 276183)",1.0503
"(1, 0, 276184)",2.48531
"(1, 0, 275911)",3.2084
"(1, 0, 275912)",2.41892
"(1, 0, 276240)",1.16643
"(1, 0, 276241)",1.58988
"(1, 0, 276264)",0.996827
"(1, 0, 276265)",1.18552
"(1, 0, 276268)",1.14945
"(1, 0, 276269)",2.16272
"(1, 0, 276737)",1.30758
"(1, 0, 276738)",1.10271
"(1, 1, 276183)",1.05309
"(1, 1, 276184)",2.27188
"(1, 1, 275911)",3.03786
"(1, 1, 275912)",2.43073
"(1, 1, 276240)",1.21292
"(1, 1, 276241)",1.31683
"(1, 1, 276264)",0.991782
"(1, 1, 276265)",1.2137
"(1, 1, 276268)",1.15005
"(1, 1, 276269)",1.51629
"(1, 1, 276737)",1.2265700000000002
"(1, 1, 276738)",1.07897
"(1, 2, 276183)",1.05316
"(1, 2, 276184)",2.03093
"(1, 2, 275911)",2.01249
"(1, 2, 275912)",2.34907
"(1, 2, 276240)",1.2407700000000002
"(1, 2, 276241)",1.23859
"(1, 2, 276264)",1.0051
"(1, 2, 276265)",1.14691
"(1, 2, 276268)",1.07243
"(1, 2, 276269)",1.34383
"(1, 2, 276737)",1.25651
"(1, 2, 276738)",1.22778
"(2, 0, 276183)",1.07044
"(2, 0, 276184)",1.40339
"(2, 0, 275911)",1.26575
"(2, 0, 275912)",1.3773
"(2, 0, 276240)",1.08044
"(2, 0, 276241)",1.09576
"(2, 0, 276264)",1.03345
"(2, 0, 276265)",1.1579
"(2, 0, 276268)",1.1098
"(2, 0, 276269)",1.12548
"(2, 0, 276737)",1.3576
"(2, 0, 276738)",1.58469
"(2, 1, 276183)",1.0789799999999998
"(2, 1, 276184)",1.38598
"(2, 1, 275911)",1.33256
"(2, 1, 275912)",1.27126
"(2, 1, 276240)",1.07243
"(2, 1, 276241)",1.04454
"(2, 1, 276264)",1.02775
"(2, 1, 276265)",1.1375
"(2, 1, 276268)",1.17386
"(2, 1, 276269)",1.11176
"(2, 1, 276737)",1.32311
"(2, 1, 276738)",1.44706
"(2, 2, 276183)",1.07685
"(2, 2, 276184)",1.24845
"(2, 2, 275911)",1.35624
"(2, 2, 275912)",1.24694
"(2, 2, 276240)",1.01739
"(2, 2, 276241)",1.08226
"(2, 2, 276264)",0.984048
"(2, 2, 276265)",1.19759
"(2, 2, 276268)",1.14931
"(2, 2, 276269)",1.08784
"(2, 2, 276737)",1.53684
"(2, 2, 276738)",1.21308
"(3, 0, 276183)",1.03654
"(3, 0, 276184)",1.17927
"(3, 0, 275911)",1.25321
"(3, 0, 275912)",1.21739
"(3, 0, 276240)",1.05348
"(3, 0, 276241)",1.11174
"(3, 0, 276264)",1.00622
"(3, 0, 276265)",1.1757
"(3, 0, 276268)",1.15528
"(3, 0, 276269)",1.14196
"(3, 0, 276737)",1.42227
"(3, 0, 276738)",1.4312200000000002
"(3, 1, 276183)",1.03209
"(3, 1, 276184)",1.15786
"(3, 1, 275911)",1.18546
"(3, 1, 275912)",1.13631
"(3, 1, 276240)",1.08
"(3, 1, 276241)",1.07473
"(3, 1, 276264)",1.03361
"(3, 1, 276265)",1.16068
"(3, 1, 276268)",1.1151799999999998
"(3, 1, 276269)",1.07988
"(3, 1, 276737)",1.36621
"(3, 1, 276738)",1.8219
"(3, 2, 276183)",1.04562
"(3, 2, 276184)",1.14289
"(3, 2, 275911)",1.19812
"(3, 2, 275912)",1.1296
"(3, 2, 276240)",1.07292
"(3, 2, 276241)",1.01218
"(3, 2, 276264)",1.2508
"(3, 2, 276265)",1.24987
"(3, 2, 276268)",1.14485
"(3, 2, 276269)",1.10097
"(3, 2, 276737)",1.67148
"(3, 2, 276738)",3.14896
"(4, 0, 276183)",1.04377
"(4, 0, 276184)",1.09959
"(4, 0, 275911)",1.14079
"(4, 0, 275912)",1.12889
"(4, 0, 276240)",1.01081
"(4, 0, 276241)",1.06191
"(4, 0, 276264)",1.08868
"(4, 0, 276265)",1.22298
"(4, 0, 276268)",1.23983
"(4, 0, 276269)",1.08023
"(4, 0, 276737)",1.62974
"(4, 0, 276738)",2.03611
"(4, 1, 276183)",1.0345799999999998
"(4, 1, 276184)",1.12748
"(4, 1, 275911)",1.12174
"(4, 1, 275912)",1.14147
"(4, 1, 276240)",1.048
"(4, 1, 276241)",1.02966
"(4, 1, 276264)",1.03292
"(4, 1, 276265)",1.18371
"(4, 1, 276268)",1.08165
"(4, 1, 276269)",1.06431
"(4, 1, 276737)",1.41363
"(4, 1, 276738)",1.47993
"(4, 2, 276183)",1.05957
"(4, 2, 276184)",1.09734
"(4, 2, 275911)",1.19002
"(4, 2, 275912)",1.07667
"(4, 2, 276240)",1.0702
"(4, 2, 276241)",1.03391
"(4, 2, 276264)",1.01751
"(4, 2, 276265)",1.19235
"(4, 2, 276268)",1.07063
"(4, 2, 276269)",1.07867
"(4, 2, 276737)",1.42219
"(4, 2, 276738)",1.61315
"(5, 0, 276183)",1.19594
"(5, 0, 276184)",1.10313
"(5, 0, 275911)",1.15823
"(5, 0, 275912)",1.09956
"(5, 0, 276240)",1.0288
"(5, 0, 276241)",0.992469
"(5, 0, 276264)",1.00432
"(5, 0, 276265)",1.26516
"(5, 0, 276268)",1.09207
"(5, 0, 276269)",1.07329
"(5, 0, 276737)",1.78065
"(5, 0, 276738)",1.3567
"(5, 1, 276183)",1.12155
"(5, 1, 276184)",1.13316
"(5, 1, 275911)",1.16467
"(5, 1, 275912)",1.10884
"(5, 1, 276240)",1.05092
"(5, 1, 276241)",1.03603
"(5, 1, 276264)",1.00786
"(5, 1, 276265)",1.19546
"(5, 1, 276268)",1.09489
"(5, 1, 276269)",1.08961
"(5, 1, 276737)",1.61968
"(5, 1, 276738)",1.81144
"(5, 2, 276183)",1.05178
"(5, 2, 276184)",1.15019
"(5, 2, 275911)",1.14523
"(5, 2, 275912)",1.13161
"(5, 2, 276240)",1.07861
"(5, 2, 276241)",1.0451
"(5, 2, 276264)",1.01843
"(5, 2, 276265)",1.12768
"(5, 2, 276268)",1.06298
"(5, 2, 276269)",1.09293
"(5, 2, 276737)",1.65003
"(5, 2, 276738)",2.35928
"(6, 0, 276183)",1.27789
"(6, 0, 276184)",1.39355
"(6, 0, 275911)",1.40436
"(6, 0, 275912)",1.50261
"(6, 0, 276240)",1.08771
"(6, 0, 276241)",1.0717299999999998
"(6, 0, 276264)",0.995249
"(6, 0, 276265)",1.2392299999999998
"(6, 0, 276268)",1.03719
"(6, 0, 276269)",1.12358
"(6, 0, 276737)",1.57019
"(6, 0, 276738)",1.5904
"(6, 1, 276183)",1.30529
"(6, 1, 276184)",1.42418
"(6, 1, 275911)",1.28568
"(6, 1, 275912)",1.37057
"(6, 1, 276240)",1.08301
"(6, 1, 276241)",1.08171
"(6, 1, 276264)",0.995436
"(6, 1, 276265)",1.17747
"(6, 1, 276268)",1.08969
"(6, 1, 276269)",1.15845
"(6, 1, 276737)",1.40578
"(6, 1, 276738)",2.34775
"(6, 2, 276183)",1.28459
"(6, 2, 276184)",1.36524
"(6, 2, 275911)",1.36725
"(6, 2, 275912)",1.5403
"(6, 2, 276240)",1.1117
"(6, 2, 276241)",1.07457
"(6, 2, 276264)",1.00367
"(6, 2, 276265)",1.20209
"(6, 2, 276268)",1.1314
"(6, 2, 276269)",1.15517
"(6, 2, 276737)",1.61352
"(6, 2, 276738)",2.1566
"(7, 0, 276183)",1.29988
"(7, 0, 276184)",1.25105
"(7, 0, 275911)",1.43694
"(7, 0, 275912)",1.38951
"(7, 0, 276240)",1.11654
"(7, 0, 276241)",1.08076
"(7, 0, 276264)",1.00839
"(7, 0, 276265)",1.27018
"(7, 0, 276268)",1.14394
"(7, 0, 276269)",1.1357700000000002
"(7, 0, 276737)",1.61469
"(7, 0, 276738)",1.9255
"(7, 1, 276183)",1.335
"(7, 1, 276184)",1.16493
"(7, 1, 275911)",1.47895
"(7, 1, 275912)",1.48206
"(7, 1, 276240)",1.18153
"(7, 1, 276241)",1.04322
"(7, 1, 276264)",0.990769
"(7, 1, 276265)",1.23777
"(7, 1, 276268)",1.16039
"(7, 1, 276269)",1.16035
"(7, 1, 276737)",1.5668799999999998
"(7, 1, 276738)",2.51582
"(7, 2, 276183)",1.3258299999999998
"(7, 2, 276184)",1.15979
"(7, 2, 275911)",1.53296
"(7, 2, 275912)",1.6541099999999995
"(7, 2, 276240)",1.14783
"(7, 2, 276241)",1.04673
"(7, 2, 276264)",0.996591
"(7, 2, 276265)",1.16901
"(7, 2, 276268)",1.13763
"(7, 2, 276269)",1.14271
"(7, 2, 276737)",1.50225
"(7, 2, 276738)",3.23082
"(8, 0, 276183)",1.44096
"(8, 0, 276184)",1.18543
"(8, 0, 275911)",2.13208
"(8, 0, 275912)",1.23747
"(8, 0, 276240)",1.16193
"(8, 0, 276241)",1.05091
"(8, 0, 276264)",1.0183
"(8, 0, 276265)",1.22134
"(8, 0, 276268)",1.09541
"(8, 0, 276269)",1.14062
"(8, 0, 276737)",1.44964
"(8, 0, 276738)",1.62152
"(8, 1, 276183)",1.47917
"(8, 1, 276184)",1.22667
"(8, 1, 275911)",2.10932
"(8, 1, 275912)",1.20609
"(8, 1, 276240)",1.14591
"(8, 1, 276241)",1.05477
"(8, 1, 276264)",1.04138
"(8, 1, 276265)",1.18862
"(8, 1, 276268)",1.15372
"(8, 1, 276269)",1.12467
